name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
94017,2021-02-26,56,44.8,50.6,56,40.8,47.9,42.8,75.1,0,0,0,,0,0,37.5,28.2,327.4,1021.3,7,6.1,220.6,19,8,,2021-02-26T06:44:03,2021-02-26T18:00:46,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-27,56.4,45.9,50.3,56.4,40.3,48.1,39.5,66.7,0,0,0,,0,0,30.9,20.5,331.9,1021.3,14.2,6.7,249.9,21.7,8,,2021-02-27T06:42:42,2021-02-27T18:01:46,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-28,64.6,44.7,53.6,64.6,44.2,52.7,35.1,52.6,0,0,0,,0,0,21.9,15.3,256.2,1021.9,19.5,8,227.4,19.5,8,,2021-02-28T06:41:20,2021-02-28T18:02:45,0.51,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-03-01,61.7,40.2,50.3,61.7,36.6,49.9,35.3,57.8,0,0,0,,0,0,,13.1,171.3,1019.7,6.4,9,227.2,19.5,8,,2021-03-01T06:39:57,2021-03-01T18:03:44,0.53,Clear,Clear conditions throughout the day.,clear-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-03-02,58.7,40.2,49.5,58.7,37.5,48.8,38.2,65.3,0,0,0,,0,0,,10.9,256.7,1013.5,34.6,8.4,193.7,16.7,8,,2021-03-02T06:38:33,2021-03-02T18:04:43,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-03-03,56.8,41.7,49.5,56.8,41.7,49.3,41.5,74,0,0,0,,0,0,,11.8,213.7,1010.7,61.5,7.4,191.8,16.5,8,,2021-03-03T06:37:09,2021-03-03T18:05:42,0.61,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-03-04,57.2,47,51.5,57.2,43.2,50.5,43.2,73.5,0,0,0,,0,0,,17.2,168.5,1023.2,36.2,7.3,226.3,19.5,8,,2021-03-04T06:35:45,2021-03-04T18:06:40,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-03-05,59,43.2,52.7,59,40.1,52,45,75.6,0.1,100,4.17,rain,0,0,37.5,22.7,161.3,1020.7,47.4,7.4,226.4,19.7,8,,2021-03-05T06:34:19,2021-03-05T18:07:38,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-03-06,53.7,42.1,49.5,53.7,41.6,47.1,43.3,79.7,0.07,100,8.33,rain,0,0,28.5,17.3,294.1,1020.9,42.7,8.4,230.4,19.9,8,,2021-03-06T06:32:54,2021-03-06T18:08:36,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-03-07,55.6,39.1,49.2,55.6,39.1,47.7,41.5,75,0,0,0,,0,0,17.2,16.2,314,1020.1,30.6,8.6,239.2,20.8,8,,2021-03-07T06:31:27,2021-03-07T18:09:34,0.83,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
